Ticker,1977-1983 hrp,1977-1983 max_sharpe,1977-1983 min_volatility,1977-1983 target_return,2000-2004 hrp,2000-2004 max_sharpe,2000-2004 min_volatility,2000-2004 target_return,2007-2011 hrp,2007-2011 max_sharpe,2007-2011 min_volatility,2007-2011 target_return,2021-2023 hrp,2021-2023 max_sharpe,2021-2023 min_volatility,2021-2023 target_return
CRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009712366313004539,9.6196e-12,0.0105296988699575,0.0048241819876445,0.0006639087893212331,1.7714e-12,4.37127e-11,4.1604e-11
DHR,0.0,0.0,0.0,0.0,0.000596899640135729,1.408181e-10,1.323732e-10,3.52447e-11,0.001564036677456808,1.28655e-11,9.65079e-11,2.91318e-11,0.000597628154086853,3.8723e-12,9.44957e-11,1.04084e-10
FDX,0.0,0.0,0.0,0.0,0.0008370998803747981,1.654451e-10,4.548995e-10,1.157454e-10,0.0008948191662862935,5.0476e-12,5.13705e-11,1.19953e-11,0.0009482244759428994,2.6219e-12,5.02765e-11,5.04933e-11
FL,0.053290013314893234,1.843363e-10,0.0545820369886548,0.054581506624652,0.0008657994965122812,3.298462e-10,3.09967e-10,7.93193e-11,0.0008227112894886001,6.3917e-12,2.390184e-10,3.31701e-11,0.0003326458367704917,1.2653e-12,3.48182e-11,2.8188e-11
FMX,0.0,0.0,0.0,0.0,0.0017131877659297863,7.58129e-11,1.300398e-10,3.48593e-11,0.0010937296041447502,8.8291e-12,4.25924e-11,1.31914e-11,0.005310494833331466,0.0140984397394936,0.0149902780344932,0.0275386539879097
CURV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000985874769279593,2.1212e-12,4.83174e-11,4.54436e-11
RBOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004933047874930197,1.8743e-12,3.10208e-11,3.7421e-11
